Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
42,8.728142978654281,0.0,7.553502748293881E10,539336.5645340667
43,8.753246714510517,0.0,8.002987807931993E10,569294.1465276597
44,8.776980580889637,0.0,8.452516904259976E10,599257.8405999498
45,8.799475448867863,0.0,8.901863712017184E10,629215.4390838114
46,8.82085214874318,0.0,9.350991549457918E10,659150.6655045238
47,8.84122259550513,0.0,9.800046443976239E10,689077.8595341125
48,8.860684109703314,0.0,1.0249192961801685E11,718997.4038230284
49,8.879308948041881,0.0,1.0698294002688081E11,748908.4158657977
50,8.89715449348546,0.0,1.1147053715936172E11,778800.1347995042
51,8.914289011403076,0.0,1.1595637520704001E11,808676.7412935861
52,8.930777045618116,0.0,1.204433103245048E11,838569.259854082
53,8.946661640445237,0.0,1.2493015989710197E11,868467.73720256
54,8.961984553996594,0.0,1.2941667164280179E11,898361.5643332677
55,8.976782721661527,0.0,1.3390241520183653E11,928239.4171268666
